A,B
1200384706591064675256880344747433031815540598619,161
554741828300669837550871871940502658667868422257,162
594379231513839978983898477965392629339467993898,163
191001199970089122119222327168578156953092801730,164
167909049160020512233885085892546600735308031312,165
65293818474952492355369699607541087901311157179,166
214428530735294070571023433424799638573333164075,167
1293813047566969163545141963399454302627604740159,168
884693474228976778925746982283385671937070848674,169
1345069274865888752931960743106244709826401873746,170
42561321692244459400914270054965006442456356867,171
566805099379209552959437377939466432140685454384,172
465321621707885680998365803677295685992106746902,173
847826461321053041720751196539117070054461976831,174
380621045867734782206860184830815296990389945414,175
30797700937312775824103528523842888469753635894,176
1234504498087879699112810952082718767874175700328,177
423661892373300316690678909627070575416435545905,178
443761724034593214049160612838733461401230686968,179
907647149432412652850965942464620522162031077731,180
599084261573508177096344526213929863775329931689,181
877515513969482837491766432965307056385641929367,182
703393911957535912947743911136698323887497190356,183
815861721512727159814766343508007884427986528029,184
603764492878458544979163904875341112766901931164,185
284983388937302503272707653685419772702577904848,186
1403366633027241901887679719743945459662262781192,187
1412317803015424907866618580532789277711031160297,188
172687190411330608239991617824884753490950889644,189
343034996178305249315549248338466575008827211407,190
267920512948338013705659572860616390296183706939,191
1175682667710871512546022158047672166234276147026,192
57808183980044112569112589047110128349122389697,193
123027680927115414990170789102552761522232006705,194
600083904824950018692843123259284831819534004438,195
669410245457629693535338367747290251970526572479,196
487476249918570481977484689332888530363368711172,197
132863547593889464657489700302176824129138421931,198
926563007813809555288393931894998500667801760603,199
473957305017134760279227793065089733716978616531,200
213598059381566527673745985453785156346364103813,201
213598059381566527673745985453785156346364103813,201
970202425127938885065187798076240289969644445124,202
1220565846825175541121452250424561546075089890365,203
320338570186949637777193390380657994270154284827,204
398508647065875956451959789316279457368960191690,205
567490569046263823694555167674423278770374031293,206
511279857131160591646833411863575595754789852520,207
317561759346409224714601604344429243890161870170,208
142001008730347898984039117736887693806821185990,209
1460407137975996489732040236539621756288220893951,210
164537598796922246527809265599913486824164164134,211
218062889162413344027533598272488839950170446857,212
371147432934039459123704653933268290093158524916,213
220425361047773034972994618887278453175869908617,214
340963536363108533597898304097552129869665714200,215
361640944715863543133662572529101175351387722630,216
713503886649325338531299587859881086584275971068,217
706537209749609996806408926137623688001992068143,218
1122828600298189439380690308713068803526429851577,219
1440709242766224074567105572069215905010938462719,220
287056253033040800076068000377094627401985172412,221
732217934315490952410994509654110336672276909666,222
389920726181762546350113609332458134088197734091,223
1373117831463124117003303602470457949540537991257,224
549074153926692410882924402979593828221211532613,225
190887301443100851218973485738398039568979884702,226
102295582379929133124641033928562250695632794637,227
1316281274191563253019978089408522956070943594898,228
1309246022632732110346971962583138081702506621466,229
126226230519079742425170536528695985671988979955,230
373250538863494904645871609895487936579904147882,231
1023114416167326557428551607516948529663688063589,232
372697490507681062051177744411973977096194625969,233
453907413858089642642881017343307482950395920247,234
1065214877035337688887612236452175082021182889889,235
1405130607324156929398174585322420764736214689605,236
657771402067442604595561635796835697357726529958,237
1413112945874785835872471240753066995444166449505,238
1427649618445342823579636396273875687304307198918,239
452579947544419918059651141267339648950490780164,240
665519373615366877969972158806201863575511930762,241
1100033868036622721888097771029978399610449668945,242
765759973770930165602546640196144560847983978253,243
1114164570189959385492144678338955807235853995714,244
919572002647381912426420294669997298986071367791,245
1124651256753789779027163878337806676480530885815,246
568834421484672772326540027763200594091771357530,247
1410841348188494298651996047991987654241756569865,248
963712439379093901768733597870364714565409050234,249
741935960493762561820750616701980327351437518241,250
1370904862708067724114674414057625335032008741416,251
827449889177290353200750163690067005158439677676,252
166263835905464457688403494073563602537324146658,253
17521401680581547431953036590974826688377874706,254
458250351228262861793982214431142152508808807562,255
1439786299761599679716319496678441165955497097216,256
214959150544943716400792961945470412497882520591,257
764399979380390086449247282112979034373876585891,258
1318402824747920027437220763417382281396676343957,259
350561792213218600141133871233054627960729422588,260
963583540065103687659984281463138434758066213755,261
1329953570269748561787906826237356302040265108451,262
117902063287061464854626915927932121926952180684,263
220670221686502103027139004009477079893658598203,264
463962756388675348741713888336589714288752654638,265
220532942712130728306490198104902507845562313288,266
132485402670102095255681746134350842438350515471,267
77612123395337374681253664500051422244629955616,268
640368563190664735724638163758189804621120944758,269
195088673723337196830846231633304303778056677832,270
1448398995148634317256325011106009638506313575968,271
264591129771788764097178121461844155911588255094,272
648150416540698147259277691421481297311190029993,273
245191302650161398063048014084138425004323236786,274
850169364991924316811743566158488309568457499807,275
847497728882531862568591904478436968445224402021,276
246143526497534487135796841396007234171696164816,277
117825338890173812747282290221346855914934541857,278
729278590645726865326076529583586317059747810890,279
600604508681137618073892716033390076177319473107,280
907279862050968891051300941742088779898960816302,281
1115880333795163531027478613847111328554637386404,282
241773598392952442708665182462481383673867472487,283
283727042188044690353688193411634608770575316112,284
21176498182832592563579262896262495674363861397,285
875792320772998732319419982225513952321794767984,286
335819051622293978431763243613770732307841990191,287
449635001177431530948099659913131719700638371492,288
212953631858883373962347696758908419496616186597,289
1135315810561139357008983847436918200723474023889,290
407758753221197686424995187751513905928400304243,291
502015100181025815547823082744764237388006626424,292
1246629661281507059052784247352261741878350397715,293
985596815668948990737501549334520368278964108385,294
346729884969066141042852273154607541250124099909,295
6796486222948676844041006355221669621618887963,296
1102449560200801131826894192084109488958732627103,297
903380588307115451273225180033195639279633560091,298
989053309164283971671184054207482621827135987572,299
5452197353114105874207657692191864014747416730,300
305236694888710396297665881407609764336944756003,301
305236694888710396297665881407609764336944756003,301
25738588182805666908739526226823583073555776319,302
613701695387148545472294615240731011511111534813,303
1427416726887403669069330077227328331271771418238,304
1210296368529908850457353271285568031527390156387,305
126829572568302943750043416943554996563263598745,306
254497556849723809619178998474088815856034116859,307
626235432135475138760861986602504934044680212156,308
1047490647380009949663830120393199008227671551761,309
1410240191701890230122061933993439406414043185480,310
1202980305931137337456714825383587205787294654479,311
130415448832553766015452078887824067404012195739,312
1081332549632205374450566837255703668645121529501,313
960717484288312367272223825749420020763449191000,314
1275147046124768362084860031685399506260124917528,315
186604699157999129862159587106909678458773879161,316
1237584901546303914387716954128288621774229110962,317
877493081044377844463043938728049396063294850566,318
1230185680566370236671009548010867055862042104952,319
791352482178173550336804458868227564137417206645,320
1075865544597875339838345962021390894904158898706,321
540441158119171664840093320622504974392090887723,322
1113697445093118503281068213034455880920344950191,323
921990424094345578611509974780010482043215649733,324
163087716071527636818798242592462091096355483859,325
633279367373575520331394633999329428950521071988,326
944659175477620210138898549673255064327594821954,327
1183278820126850052228959042297505991078819076862,328
1227065083512775762714787382696689289841047847558,329
1211421788908547568123836799107778792252578805463,330
698913188891413604406045293681518538332591785058,331
223510154376862109595887767303365602291190624400,332
1110809360968063632509428667203643661434512186445,333
269379771437927043279952122553326168353429315325,334
593874131353471682406649640456342516898546420337,335
237719026672265555332233724827444064620578665726,336
243619138101401217997716182925696606473177834437,337
158273036186359216349041725210450315878449053962,338
497797850217903969272065839688168283399369871472,339
708750061523121146285967982050562447497624525356,340
163720803326854538641434442438974233209563212507,341
1038522165144725541464546655819749896054368650149,342
531719149280294527811386800253098587073309188508,343
148874996439686412767150236198692513516778255476,344
1099518033412225868228386824770499473151677520433,345
1234847622840958427192979909260134998612442901830,346
1271901758155140798633701474826348425468640498933,347
258977152659589723725769926452626439971189185662,348
282285889301143040845090430855863761491919216462,349
1254608081188104298671683773032972789614072411091,350
665300398358968962149091603125234667814069122438,351
182694837598780856038282916733136796147267274725,352
203141531730892960540165312949767385935618557338,353
1049776162073933512738454399792424186430964823596,354
1391990447551416249313159617767560011916566212521,355
1283950785439045790312111557449295913225168100910,356
491120243724245556293115926960761660713860190927,357
955440021089893604791126790695858225318418789023,358
764814640783338053040295542382239309851284206273,359
1433964881419272531796434678087205873184115566434,360
770379136677091956166018164538969703996276976378,361
632240464920083659192369733913262981181437692798,362
946156894879288019252404847224488227306515831943,363
1338401332246853501409165272922072754004151430770,364
366526059342692461140370425697344090227841132610,365
390896970418431263141748671467273571646663203283,366
550934776776372860565100162377563252212071144059,367
914093699285366428513037172006399048994856952648,368
592292335523501382210113160117553851523065254393,369
657759920276363479097491111152810326603273161745,370
1081749777232676229350613433325027310638187054944,371
49022165344401826654184670343728283297532416585,372
520940971852365871017320694010389141928592675179,373
1147492068006598997926814167242716456483538921273,374
885995978507571060453986537498781176626457440876,375
1430066327301235390366908274170973322005509467084,376
153037369090810037242197812704577106835077705828,377
758441122702856417826487090830708749044612039554,378
973163218797614979541921073644949299289584325135,379
987615600451458429837006503793861659883959335206,380
792526268560726393265022718682711757980327757830,381
547549137641398458766413912067103596026780207802,382
913778315738209266374737583137515951194383443677,383
738630788772719804425686214587124881836678334327,384
405209154671655694718287464655236070705848729113,385
1419778160408410098987506371289490602769338737243,386
372646782521433548112626496806885843391275615522,387
1289438497343152746909366453594544199430490443867,388
272719052686011400406009995165757670344178177825,389
689129107585396754480374935712381103329436007908,390
464124604218684074715615219084181760755851918844,391
168345147543999162151404983802243204180507195635,392
26658924186826813270444439221967402304013958273,393
1040369743583552366030913795598146938148750625176,394
702835891165528929664954741667376066724652191002,395
913893418180486317132402866992453279156149055844,396
135274799380257195447533649844131218370544059422,397
542413533164782660200981677362328424651466999957,398
590943474595985667159785246059968734146382085007,399
91982376850235559777656694744664500811536652399,400
1131356843548382026927975726265573103533096997116,401
1131356843548382026927975726265573103533096997116,401
659707130409049456783107700437520838600745848488,402
335683673603438759182162745794212908518875816753,403
546977468668569712092153865992628972502444167840,404
170187165344588640218887510626648315471534591155,405
359534675821145182531024434685891512453029499495,406
753651990137370059691977472008820656625790456307,407
245565909048685129708257873204333907707287772032,408
627924707215866750332590386277280887663898639425,409
69463244054591291677657281611909452876149974831,410
1343070810934801503306596236820310393315263708942,411
796139541050650872404582187492285779284418952681,412
1196766191892551141224778197664234636081645467552,413
124690269111780834777511828838429898643941100515,414
1180728309177300202429519608898745128881149784039,415
833714400035571692355205611364972541574810506062,416
1172396328162581902571751808457404612861025940945,417
1374471654698896634833543320179933284931213155880,418
1137257983557922562357828611197563198971000737291,419
1294617023442783344172775846577090095401415334543,420
236556176856623252896387599807305074760379819263,421
255981540172788752972070160694146754440481091770,422
1109747221438685564271289687589546520048421568857,423
462234971718894044694319802165595670357942021343,424
1008709054633764427921844032063701370837011919667,425
101978264687959965666275855329414038044131381197,426
40038046747755793338445561763372873097984426670,427
434690824997819165730349340406184882070656246381,428
1285136807655758347586750498477130890855650572725,429
437811258656439463061773098580792831210894652925,430
348070319791058065760195494593642276881041658321,431
801426468904645464824034289739137533670785837378,432
637517835703104739482073700372937872102384417504,433
767908866570800210350538475763300419294818556468,434
1137790294050796929797743280203459933729218330028,435
228297707309471960292800655397934172020604997544,436
1368462260018024154842622209454454394038366232342,437
507859392574589280599413349274534110772929879551,438
284813996310072971184538111122118889403006226461,439
196763528447738959593909250475308466657340721204,440
789123456454668452660521317298648128888961723976,441
1391379655525960103717542767789138091516394172705,442
174574799410063184578639001880260448683566584297,443
116945476069871229425687992374715193410195168438,444
289337307540051076717090716900944508077338432447,445
53481892134594510469416303545249685833739484556,446
527554503440930751788036909700132855496684413920,447
1320719978453722029785794194335375678667378812753,448
644816449093688255555620011947345167008898312362,449
338410244342174732212298418969950081161589644592,450
1415691504522312502293243047670945279804963519711,451
292582991010000587557281400998986821584436181045,452
1380219731637087209279316832880686847399233086989,453
919362852177407063656158399904678283089933739812,454
1408335328793232780544819808345254593506489506849,455
318523820807499941815395246818856734882216497534,456
1100884781001689373730982623963028133756162279683,457
1246688528605959107476833573250114776295315896680,458
58130596985567329398416559898389973321182119577,459
21482560071469891798855524381166462096305470887,460
804251557726061468798913754842381686756828565208,461
1026116272430100095945379083896563060031001605176,462
141726303086036708730950830545830691992747237064,463
499896667919407830006456985759593748465972715295,464
359392374815150431781254917854326741703771036078,465
1415911868799959504908481276252033716070895275985,466
428158763586361448905852370742693631071153687175,467
590605378011864205673551941134233777627248383702,468
347544781441488221581453169413619743377765834351,469
78535068805392826691424528643863171714573586290,470
709440720868157033921097568551137867998402157112,471
62248942845018810992550897892403856212515448190,472
264107862776006017877251667960563355588076296045,473
167983574823594592341315330343061933701199034697,474
1325348352595470266554635998495917809589911019120,475
1070671311943281644423245549828451994791867694662,476
422790383052228136256034081745076068978688339714,477
655277124901958853637406036898302507501967036735,478
1246233429156919606516660752896664771663137911246,479
161575758224128046525233979586488500592094623448,480
799931200824422465867855641459297180648798501159,481
478779310050978802265094860280676431336262563532,482
1155965442655533985615884020153126028865639150378,483
1418696534569171653347217370295018026992401988989,484
452694666784012537837220181673385840666425186561,485
29663641501621874136435797837105924429123602040,486
821758363656163638222377747660587327458465054024,487
1092127042347871916235838163748653275084463465112,488
529189804264976300845287580084877187219393244439,489
1125442875132311133416289753425741355993252132015,490
480040646504111559566649357745348983723806474604,491
433824894987832786184434399295569775820836833541,492
672174407361722324507799414592385897717213742147,493
476610845210384257718504094829130724023417421607,494
1446882873130638686849394652201699370340473269637,495
873205396220029518853107614942575599907950526084,496
991819681831536204979368904950374992013309241391,497
343582118377881954674824256606377899902611707808,498
1122208366839584858656766321134526767342840020360,499
298459725106998700694739675515998643205833184837,500
1103537613250865495699008508329249485884940471896,501
1103537613250865495699008508329249485884940471896,501
1080206317689561565814622131137233768295766289890,502
975555108905182236918177566855567579881473065471,503
1263483962774990369816086775283515721032970498242,504
1262007728245453014154102033507847834782933791780,505
480969911248759376303245690219370779961218377991,506
843234668565952478639374526532361721076002156284,507
757429580038736247955532536408309765058754176410,508
280868263354188527913142119849947595685652947095,509
267103081158622368437528420355823215469159051304,510
1194498075355654310641243689901942164326835347503,511
38961827531726158768807261025814699108753357708,512
657487663337782147823806384146970503608855559552,513
768967416339019159322061966296089635582817792846,514
380959620330388999237911651667756842805499220601,515
210358051346955654065219638177271424087780766983,516
960817975623548259049923021220656814397715947326,517
214466617716630457732719807902914618358090406726,518
714889634914775961330539964130226729467853874492,519
1362057009066427957437333750975268551613973858773,520
92127791076681932663741185632981051854554044285,521
1005972713854430385074145959318714623288173423281,522
655917305676255753865560064246987351245813068438,523
1387970462158701642395692027883759816547224456243,524
614017340081488506073855313034902799210530026019,525
599430731872852437816768800066868442695649234099,526
974391500453494445334312437145796703539277946215,527
117179105245069792398642078818156806801367837613,528
210952811676405332585187227788465060299646110198,529
1122319210865647570967452053013674306022510959234,530
1398382591569761769152839529494387898732639938269,531
574013640977776416787160348657770516519985378026,532
772427656990709935013043446373101020160304962207,533
635648870633951347586336469383462534119688876388,534
475723409904715063595984337643759158446625572938,535
12406474077363422430380070024440321671493965674,536
429762144831754980583030800909839473098029704223,537
411529323001980700907651992604137221551225539907,538
184423416903930265881445970031489560827882980609,539
851012756870049457836337993075314142901050085741,540
137110915847437828731991473450406361726903521994,541
924713825541595147328275064286342909096340602085,542
543876602472869008258770038358500316092603455363,543
1315094483162660387092961849660587918909179550216,544
1211209534667345110106326598708929931568610896812,545
1176681100243749609819019297831202503608955731412,546
72590521445519071661790127963670722855382970860,547
353038751127686275230564241749611647033638380152,548
562399575477409955604237460047298275056657433558,549
346236085713441616321771857489030844511882190910,550
1008270412784849341015348589884307141910031730643,551
736666520133764905753174591917471867459389994918,552
1328790840485917858793307133623377177561683395845,553
1265736514747438219048034283958940392908301632074,554
1073266787944757562526278346618866928499784867898,555
13755787446940846653226982012624224837617816513,556
697788728592518712494571877342866791119873441040,557
723226464236603642689373150409226497351185601065,558
466524150741193289080405389981212503097816957196,559
314586029181666791448943020367231937142047664934,560
1067613601774944681629825846769560715433230172473,561
1155381713390116966566936455660639692310607237079,562
133915133138863753027990607903585316342795914440,563
810750149161870643719783940318312903366713908294,564
6894412496034034075954957793912794792504805377,565
611011879177179365160997500860247334080992995394,566
134641254707065066273463534436380907422345113595,567
1413238184229879185918462237479829365727639857248,568
142044306442245712824447783359050793238490925487,569
979422038929951673037150119802936670534402762969,570
216846078036794743905513877518673233565083713019,571
1027918273577966175795541644634063839511767957877,572
353284324044259404619874614196900467968026198134,573
455982694291392451901721669600753550527917897857,574
1229359998375020548188936448653459011407568440066,575
1232277168797085431425366322810043522925181692844,576
247105909802525329255315775650572880245546102886,577
1337923058428036912493549477737076256410445801055,578
532731368587365419385300784350806557952338251009,579
1244359511587931173644211822842804327133676073850,580
652644907810181795923395131729727998908530886780,581
647350333062139735701483270049326171859341607561,582
919347908286988463855805511845622513498753892042,583
711633021390759394915671323007795455077350283240,584
494218097152434006962811809116577557124445574673,585
102774692247859313278718761302962455842815873168,586
344300873924615899953337878733030416992881769721,587
408243896295555980639827779224883394460067216388,588
518635018916507019431215722098681244246545985481,589
723784356478669697741385721591329591427591913258,590
321848871673293805128086261981387373946359107101,591
37908185062773366727437851029360054237297511741,592
402570599841255746263944723112466113836287945173,593
960070499648026343597940595125897080542194257953,594
1357994290244795253500766241458967509254141780587,595
1109598699558490017959927181916926120152569247254,596
1265705859336899763377350382882506651583666418083,597
230953847925564063380276426099463767540064445441,598
1440937064234040703912957560967127578732832337758,599
1221901274284704212572079364465504645329351971778,600
706008960676034334828187050676821427210983364737,601
706008960676034334828187050676821427210983364737,601
848171712619427040327737297604141781335963374405,602
260454255862849550552447891564650246658713531008,603
1049065307654364122279472556156508422587961941861,604
794358480844839860053712015688339538497965973958,605
1020049477556557171414794074037683999691549877834,606
294635088765314222390355660110824228426862100077,607
1167465317406455177893958946596034796615621796963,608
1208224285498306731627569393922035987693689571444,609
214401147435504692643238603034564259016629792081,610
314600441430832888533212705122526598109308014977,611
1179396423156037627743259292403005944219552748038,612
347900304399086719459206513169464962045613670268,613
849196554628227725639172660522958122037774543906,614
523926262405033254097926381050017197745506468751,615
255179342285736320242600213444550182987777581649,616
1274306345507141939195345289893253874301500555951,617
51984073206392672951735711532047367299116817019,618
139011322584292675819428143079994546093042224363,619
1369601605563836464370739900553246890049056614260,620
768146994317365349909135090637494601145856506696,621
703264836971176503004914703182684663926358253448,622
811825579051385283622011604868263376750709515333,623
692677085391143368453933762816963641612626732120,624
470764586429798610594208837455650398340918744388,625
1318821816238468518491034611354437428947059468111,626
299860456168322907984223221015865477380543586059,627
721402129755005970335292302763852127001765013580,628
518251741108922722860215987012650380008786939142,629
1322292704166546945176684921377094638462991992315,630
907723005613118692035418109995754913123240698965,631
701561243389006914244364203875388110540652017909,632
198744843895891697784260039508286363693707195498,633
1432077768613096417991381948046469364420088541471,634
790879517709037926992251908956999822535619952836,635
888132831400693097985213220278652702826953941546,636
1297608510662742357957268905733281897714582734087,637
143901978387936186246042634385796537706120800127,638
998834025540987414400933909198292322594344667500,639
353591318742898956386285056700210104734209626733,640
1227617732152860926953907344470861095606481502460,641
993383685928551869279654065042202859137590907838,642
1179763804529059334759910491045230542681932909981,643
933028626433008020980968121165388223358873826266,644
334023922885570803086704062193606253430022031209,645
238275531986215685527297976344071514541102290555,646
678526812990653026477866178626545938107438651448,647
1263334617785483102243785238501503268630291224382,648
1316048167122507864719729699621998724503276962464,649
512850642013180507552745858599960214590245134892,650
273972733103456715395142386554256642922167820945,651
1315083365802484513333661285653802883095611048527,652
946080998605444869533606002950098866835000717948,653
1256793706023689373000899050187392756759293037746,654
446617284545866820558382306158336213089307321199,655
956174686245250920568979929750385254240121018421,656
900405040160722268429964669340455371027468070422,657
851832936494450381261491742234945801787273418876,658
1393210504833267441478345861030082843201976652785,659
1379033924958753497112442805567650703221130212781,660
376224458060557580934390155721096342596373213918,661
706648730987965372828817793798012600640551369287,662
1212877647034787199537995324735371680358231820377,663
589547162896691159272494332040575801692055692209,664
1375451368262267756640719341015390595988676157258,665
164150764420249928089534816932588973610105065205,666
1179441765340231399231528975891827796573540768388,667
655384020689002353349677217879805777682984864061,668
1168746427459662276620961671028493404399419507021,669
682553464059549940065701290668294493204965496566,670
90013041874768598807006737223708372182671551461,671
1459015710291679268267405780854839654511249928885,672
373136791381632563931941547222266352580085183725,673
1271944021067770656471344702008496955102271056998,674
753373757703260533404304789677093091816755136667,675
753430683818861947289836954686203726857200465870,676
1047209537357545783552486221800727031085468284036,677
1363990705799102302782852258139310260443034741056,678
1089118271086400473428337034980186516045075383446,679
713013967445215784770705779976567009478573332307,680
1277989735793999275867816590819944933053345750276,681
1015704184388641249120783834816377093702227392841,682
628957399668381860138111454200091910285782700164,683
1204123791240549856031087796491063361908651155541,684
652602057372255198539558820382207312098202983160,685
1368612508445657342097516885478775117828807471478,686
223900269102200183071895593732382089925124108204,687
537264848890282600393197067629306247249417918461,688
1095326736039554279187491534945038477023591118915,689
110341339844605655885761978985663092919766205470,690
1148570863512137141835983485813717108412954038586,691
465653173904189439934215929907872216636961697463,692
1223809256930418402161985560563886364614073125445,693
1356903102555099032972308258381090603771025312503,694
303958091337521198325484790191538547353680188737,695
99021548656862045171691103194237161773738674724,696
1251252297795748377071857863873880116745742710243,697
1449066709290306308091377983720154673525561256347,698
490033881300348536680912585894967692857260634435,699
1088876404300533454927613765894606410429786604959,700
764767777383808637008517338732836088406760229344,701
764767777383808637008517338732836088406760229344,701
786719029525549077809907029285292335872687779970,702
1394002415718896213430481286342315968873596077599,703
700863799226323002658735532639032565817323763825,704
713595869493669804698325259721627528530021266664,705
369883552256914683670941518980247897008820995364,706
974420758262676422778121225033930708171820439407,707
1125131707893069423773541761196759963665348758149,708
1322244733523933485921163361006144437984303451432,709
71143827376951517875421380180552519659683521628,710
411582291972906603448955526752987657975988445198,711
1446575906996751034242119412468337764013131575742,712
1080286892625901311208970947085928158056265091269,713
550556499866633386859425895599908279365715259687,714
680673459667033781956059656278963180002686146553,715
871992648874049245411769173684167084873845789265,716
986123777174669535183933935597968663028567318117,717
